WorkDay,Holiday,conditions,hour,temp,feelslike,dew,humidity,cloudcover,visibility
True,False,Partially cloudy,16,5.6,5.6,1.3,73.85,65.7,34.0
True,False,Overcast,17,5.1,5.1,0.6,72.26,93.0,32.8
True,False,Partially cloudy,18,3.8,3.8,1.6,85.59,62.4,34.7
True,False,Partially cloudy,19,2.8,2.8,1.1,88.6,63.2,28.9
True,False,Partially cloudy,20,2.3,2.3,1.1,91.79,39.5,19.6
True,False,Clear,21,1.8,1.8,0.3,89.79,7.0,32.4
True,False,Partially cloudy,22,1.8,1.8,0.3,89.81,44.7,24.3
True,False,Partially cloudy,23,1.1,1.1,0.0,92.37,44.7,24.3
False,False,Partially cloudy,0,1.3,1.3,0.3,93.06,37.8,17.0
False,False,Partially cloudy,1,1.3,1.3,0.5,94.4,63.3,19.7
False,False,Partially cloudy,2,1.6,-1.0,0.8,94.41,66.4,18.1
False,False,Partially cloudy,3,2.3,2.3,1.3,93.11,69.5,13.7
False,False,Overcast,4,2.6,0.3,1.3,91.16,96.2,18.0
False,False,Partially cloudy,5,3.5,3.5,2.0,89.94,70.6,21.6
False,False,Partially cloudy,6,5.0,5.0,3.1,87.56,78.5,27.0
False,False,Overcast,7,5.8,5.8,4.6,92.02,93.8,8.8
False,False,"Rain, Partially cloudy",8,6.5,6.5,5.5,93.34,81.7,8.0
False,False,Partially cloudy,9,7.6,7.6,7.0,96.0,84.8,7.6
False,False,"Rain, Partially cloudy",10,8.4,8.4,7.5,94.69,78.5,7.7
False,False,"Rain, Overcast",11,8.8,8.8,8.0,94.73,90.7,6.1
False,False,"Rain, Overcast",12,9.3,9.3,8.5,94.75,96.9,5.5
False,False,"Rain, Overcast",13,9.8,9.8,9.0,94.77,93.8,10.3
False,False,"Rain, Overcast",14,9.6,9.6,8.8,94.76,96.9,4.6
False,False,"Rain, Partially cloudy",15,10.0,10.0,9.1,94.14,76.8,30.1
False,False,Partially cloudy,16,9.6,9.6,8.6,93.46,80.7,24.7
False,False,"Rain, Partially cloudy",17,9.3,9.3,7.6,89.1,59.5,20.5
False,False,"Rain, Partially cloudy",18,8.1,8.1,6.3,88.4,63.3,20.2
False,False,Partially cloudy,19,7.8,7.8,5.3,84.19,66.4,18.0
False,False,Partially cloudy,20,8.1,8.1,3.8,74.31,90.0,20.5
False,False,Partially cloudy,21,6.8,6.8,1.9,70.51,39.3,24.7
False,False,Clear,22,5.6,5.6,1.8,76.55,0.0,28.9
False,False,Clear,23,4.8,4.8,1.0,76.43,0.0,30.5
